person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,games_played_flag,position,draft_year,draft_round,draft_num,birth_date,height_feet,height_inches,height,weight,season_exp,jersey,school,country,last_affiliation
1627767,"Diallo, Cheick",Cheick Diallo,t,2016,2018,cheick_diallo,Y,Forward,2016,2,,,6,9,6.8,220,2,13,Kansas,Mali,Kansas/Mali
1627774,"Layman, Jake",Jake Layman,t,2016,2018,jake_layman,Y,Forward,2016,2,,,6,9,6.8,210,2,10,Maryland,USA,Maryland/USA
1627778,"Onuaku, Chinanu",Chinanu Onuaku,f,2016,2017,chinanu_onuaku,Y,Center,2016,2,,,6,10,6.8,245,2,21,Louisville,USA,Louisville/USA
1627783,"Siakam, Pascal",Pascal Siakam,t,2016,2018,pascal_siakam,Y,Forward,2016,1,,,6,9,6.8,230,2,43,New Mexico State,Cameroon,New Mexico State/Cameroon
1627784,"Uthoff, Jarrod",Jarrod Uthoff,f,2016,2016,jarrod_uthoff,Y,Forward,,,,,6,9,6.8,221,1,19,Iowa,USA,Iowa/USA
1627787,"Wiltjer, Kyle",Kyle Wiltjer,f,2016,2016,kyle_wiltjer,Y,Forward,,,,,6,10,6.8,240,1,30,Gonzaga,Canada,Gonzaga/Canada
1627816,"Poythress, Alex",Alex Poythress,t,2016,2018,alex_poythress,Y,Forward,,,,,6,9,6.8,235,2,22,Kentucky,USA,Kentucky/USA
1627821,"Webb III, James",James Webb III,t,2017,2018,james_webb iii,Y,Forward,,,,,6,9,6.8,202,1,0,Boise State,USA,Boise State/USA
1627823,"Hernangomez, Juancho",Juancho Hernangomez,t,2016,2018,juan_hernangomez,Y,Forward,2016,1,,,6,9,6.8,230,2,41,,Spain,Spain/Spain
1627848,"Long, Shawn",Shawn Long,f,2016,2016,shawn_long,Y,Forward,,,,,6,9,6.8,255,1,36,Louisiana-Lafayette,USA,Louisiana-Lafayette/USA
1627856,"Costello, Matt",Matt Costello,f,2017,2017,matt_costello,Y,Forward,,,,,6,10,6.8,240,1,10,Michigan State,USA,Michigan State/USA
1628371,"Isaac, Jonathan",Jonathan Isaac,t,2017,2018,jonathan_isaac,Y,Forward,2017,1,,,6,10,6.8,210,1,1,Florida State,USA,Florida State/USA
1628381,"Collins, John",John Collins,t,2017,2018,john_collins,Y,Forward,2017,1,,,6,10,6.8,235,1,20,Wake Forest,USA,Wake Forest/USA
1628385,"Giles III, Harry",Harry Giles III,t,2017,2018,harry_giles,N,Forward,2017,1,,,6,10,6.8,240,0,20,Duke,USA,Duke/USA
1628387,"Anigbogu, Ike",Ike Anigbogu,t,2017,2018,ike_anigbogu,Y,Center,2017,2,,,6,10,6.8,262,1,13,California-Los Angeles,USA,UCLA/USA
1628388,"Leaf, TJ",TJ Leaf,t,2017,2018,tj_leaf,Y,Forward,2017,1,,,6,10,6.8,230,1,22,California-Los Angeles,USA,UCLA/USA
